AU Mic c, -1, -1, 19.0, 10.7, -1, -1, 9.726725, 9.717474999999999
AU Mic c, 18.859035000000002, 18.858932, -1, -1, 0.29000000000000004, 0.04000000000000001, 9.726725, 9.717474999999999
AU Mic c, 18.859035, 18.859003, 25.0, 2.1999999999999993, -1, -1, 9.726725, 9.717474999999999
AU Mic c, 18.85977, 18.85961, -1, -1, 0.00502, 0.0017400000000000002, 9.726725, 9.717474999999999
AU Mic c, -1, -1, 11.67, 7.289999999999999, -1, -1, 9.726725, 9.717474999999999
AU Mic c, 18.8590206, 18.8590174, 28.9, 15.5, 0.088, 0.015000000000000003, 9.726725, 9.717474999999999
AU Mic d, 12.74389, 12.72803, 1.564, 0.5419999999999999, 0.00409, 0.0020100000000000005, 9.726725, 9.717474999999999
BD+03 2562 b, 484.59999999999997, 479.09999999999997, -1, -1, 0.32, 0.12000000000000001, 1134.505, 1006.7550000000001
BD+14 4559 b, 269.93, 267.95, -1, -1, 0.31999999999999995, 0.26, 49.4366, 49.267599999999995
BD+14 4559 b, 269.93, 267.95, -1, -1, 0.31999999999999995, 0.26, 49.4366, 49.267599999999995
BD+15 2375 b, 153.66, 152.78, -1, -1, 0.251, 0.0, 813.083, 723.007
BD+15 2940 b, 137.82, 137.14, -1, -1, 0.36, 0.16, 432.86, 419.98
BD+20 2457 b, 381.64, 377.62, -1, -1, 0.18, 0.12, 1729.635, 1349.785
BD+20 2457 b, 381.63, 377.63, -1, -1, 0.18, 0.12, 1729.635, 1349.785
BD+20 2457 c, 632.19, 611.79, -1, -1, 0.24, 0.12, 1729.635, 1349.785
BD+20 274 b, 583.6, 572.8000000000001, -1, -1, 0.27, 0.15, 1403.045, 1241.975
BD+20 594 b, 41.69199699999999, 41.685224999999996, -1, -1, -1, -1, 180.71800000000002, 178.221
BD+20 594 b, 41.6885, 41.6825, 31.783, 12.7132, -1, -1, 180.71800000000002, 178.221
BD+20 594 b, 41.6885, 41.682399999999994, 22.3, 10.200000000000001, -1, -1, 180.71800000000002, 178.221
BD+45 564 b, 309.35, 306.40999999999997, -1, -1, 0.18, 0.06, 53.8139, 53.4315
BD+48 738 b, 398.1, 387.1, -1, -1, 0.30000000000000004, 0.1, 915.3420000000001, 827.644
BD+48 740 b, 738.0, 725.0, -1, -1, 0.81, 0.67, 688.1225000000001, 645.0555
BD+49 828 b, 2890.0, 2410.0, -1, -1, 0.59, 0.24999999999999997, 449.69599999999997, 434.388
BD+55 362 b, 266.63, 264.54999999999995, -1, -1, 0.33, 0.21000000000000002, 52.6671, 52.4726
BD+60 1417 b, -1, -1, 6356.568139999999, 3178.28406, -1, -1, 45.013600000000004, 44.895100000000006
BD+63 1405 b, 1274.0, 1190.0, 3718.59236, 2955.80418, 0.937, 0.875, 38.0802, 38.0144
BD+63 1405 b, 1259.27, 1137.69, -1, -1, 0.9, 0.86, 38.0802, 38.0144
BD-06 1339 b, 3.8731999999999998, 3.8724, -1, -1, -1, -1, 20.2915, 20.247700000000002
BD-06 1339 c, 126.38, 125.5, -1, -1, 0.42, 0.2, 20.2915, 20.247700000000002
BD-08 2823 b, 5.619999999999999, 5.58, -1, -1, 0.3, 0.0, 41.4027, 41.266000000000005
BD-08 2823 b, 5.619999999999999, 5.58, -1, -1, 0.3, 0.0, 41.4027, 41.266000000000005
BD-08 2823 c, 239.1, 236.1, -1, -1, 0.28, 0.1, 41.4027, 41.266000000000005
BD-10 3166 b, 3.4878799999999996, 3.48766, -1, -1, 0.041999999999999996, -0.004, 84.7606, 84.05609999999999
BD-10 3166 b, 3.4878799999999996, 3.48766, -1, -1, 0.04, 0.0, 84.7606, 84.05609999999999
BD-10 3166 b, 3.488, 3.486, -1, -1, 0.1, 0.0, 84.7606, 84.05609999999999
BD-10 3166 b, 3.487983, 3.487824, -1, -1, 0.046, 0.006999999999999999, 84.7606, 84.05609999999999
BD-11 4672 b, 1700.0, 1636.0, -1, -1, 0.11, 0.010000000000000002, 27.2011, 27.131899999999998
BD-11 4672 b, 1647.0, 1620.0, -1, -1, 0.1, 0.020000000000000004, 27.2011, 27.131899999999998
BD-11 4672 c, 74.26, 74.12, -1, -1, 0.53, 0.25, 27.2011, 27.131899999999998
BD-13 2130 b, 719.5999899999999, 708.99999, -1, -1, 0.28, 0.13999999999999999, 966.4250000000001, 884.003
BD-13 2130 b, 719.5999999999999, 709.0, -1, -1, 0.28, 0.13999999999999999, 966.4250000000001, 884.003
BD-14 3065 b, 4.2889763, 4.2889629, -1, -1, -1, -1, 606.022, 573.694
BD-14 3065 b, 4.2889783, 4.288967899999999, 4222.0, 3652.0, 0.0758, 0.05500000000000001, 606.022, 573.694
BD-17 63 b, 656.1500000000001, 654.99, 1703.56026, 1576.4289, 0.5491, 0.5387000000000001, 34.5532, 34.3679
BD-17 63 b, 656.19998, 654.9999799999999, -1, -1, 0.54, 0.54, 34.5532, 34.3679
BD-17 63 b, 685.0, 613.0, 1525.57635, 1207.7479500000002, 0.5, 0.060000000000000026, 34.5532, 34.3679
BD-17 63 b, 656.2, 655.0, -1, -1, 0.545, 0.535, 34.5532, 34.3679
BD-210397 b, 1947.0, 1843.0, -1, -1, 0.2, 0.0, 23.7552, 23.709699999999998
BD-210397 c, 6391.0, 6084.0, 1716.27339, 1334.87931, 0.48, 0.38, 23.7552, 23.709699999999998
BD-210397 c, 12620.0, 5649.0, -1, -1, 0.30000000000000004, 0.0, 23.7552, 23.709699999999998
CD Cet b, 2.29082, 2.2905800000000003, -1, -1, -1, -1, 8.61373, 8.600570000000001
CFBDSIR J145829+101343 b, 12775.0, 7300.0, 4767.3, 1906.8999999999999, -1, -1, -1, -1
CFHTWIR-Oph 98 b, 8510000.0, 7570000.0, 2701.5414499999997, 2224.79884, -1, -1, -1, -1
CHXR 73 b, -1, -1, 6657.477, 2330.117, -1, -1, 197.021, 184.154
CI Tau c, 26.9, 23.4, -1, -1, 0.63, 0.52, 159.196, 156.81799999999998
COCONUTS-2 b, 872000000.0, 302000000.0, 2479.06157, 1398.44499, -1, -1, 10.8905, 10.8822
